2017-11-29 06:55:51,buy,3.11714691,0.07623990,0.00000000,0.07623990
2017-11-29 07:07:49,buy,6.15597253,0.08101888,0.00000000,0.08101888
2017-11-29 07:07:48,sell,3.11714691,0.08079749,0.07623990,0.08101888
2017-11-29 07:10:58,buy,13.89988772,0.07960000,0.08101888,0.08003551
2017-11-29 07:15:35,buy,6.15597253,0.07973337,0.08003551,0.07996455
2017-11-29 07:20:10,buy,6.15597253,0.07970200,0.07996455,0.07991462
2017-11-29 08:02:10,buy,5.88426561,0.08475994,0.00000000,0.08475994
2017-11-29 08:02:10,sell,32.36780530,0.08423359,0.07991462,0.08475994
2017-11-29 08:14:48,buy,5.90865311,0.08441010,0.08475994,0.08458466
2017-11-29 08:15:49,buy,6.93332528,0.08400000,0.08458466,0.08436819
2017-11-29 08:16:19,buy,5.90865311,0.08399999,0.08436819,0.08427988
2017-11-29 08:16:50,buy,5.90865311,0.08400000,0.08427988,0.08422574
2017-11-29 08:30:16,buy,6.02022112,0.08374999,0.08422574,0.08414740
2017-11-29 08:30:47,buy,6.95312588,0.08352409,0.08414740,0.08404781
2017-11-29 08:31:18,buy,6.37906126,0.08350000,0.08404781,0.08397777
2017-11-29 08:31:49,buy,5.85506185,0.08349992,0.08397777,0.08392759
2017-11-29 08:32:20,buy,5.47366118,0.08349971,0.08392759,0.08388934
2017-11-29 08:33:21,buy,5.90069092,0.08349936,0.08388934,0.08385506
2017-11-29 08:38:25,buy,12.27677335,0.08234950,0.08385506,0.08362227
2017-11-29 08:39:56,buy,5.90069092,0.08335000,0.08362227,0.08360344
2017-11-29 08:40:59,buy,5.90069092,0.08335000,0.08360344,0.08358704
2017-11-29 08:46:15,buy,8.96398890,0.08250000,0.08358704,0.08348976
2017-11-29 08:46:45,buy,10.62278087,0.08210100,0.08348976,0.08335661
2017-11-29 08:47:16,buy,7.31289675,0.08250000,0.08335661,0.08330357
2017-11-29 08:47:47,buy,5.96593192,0.08307992,0.08330357,0.08329281
2017-11-29 08:48:19,buy,5.96593192,0.08300000,0.08329281,0.08327938
2017-11-29 08:49:20,buy,5.96593192,0.08300000,0.08327938,0.08326712
2017-11-29 08:49:50,buy,5.96593192,0.08300000,0.08326712,0.08325590
2017-11-29 08:50:21,buy,5.96593192,0.08300205,0.08325590,0.08324566
2017-11-29 08:50:51,buy,5.96593192,0.08300205,0.08324566,0.08323622
2017-11-29 08:51:22,buy,5.96593192,0.08300000,0.08323622,0.08322740
2017-11-29 08:51:52,buy,5.96593192,0.08300205,0.08322740,0.08321929
2017-11-29 09:01:34,buy,5.65882702,0.08813664,0.00000000,0.08813664
2017-11-29 09:01:33,sell,165.83064948,0.08776685,0.08321929,0.08813664
2017-11-29 09:20:27,buy,5.33649332,0.09346025,0.00000000,0.09346025
2017-11-29 09:20:26,sell,5.65882701,0.09287762,0.08813664,0.09346025
2017-11-29 09:32:10,buy,5.34588835,0.09320000,0.09346025,0.09333001
2017-11-29 09:33:11,buy,5.62961880,0.09280000,0.09333001,0.09314709
2017-11-29 09:34:14,buy,5.34588835,0.09280000,0.09314709,0.09306142
2017-11-29 09:34:45,buy,10.01341271,0.09173754,0.09306142,0.09264285
2017-11-29 09:35:16,buy,12.83748858,0.09080010,0.09264285,0.09211135
2017-11-29 09:50:37,buy,8.56136475,0.09114005,0.09211135,0.09195466
2017-11-29 09:51:08,buy,7.60041402,0.09099999,0.09195466,0.09183507
2017-11-29 09:51:39,buy,5.34588835,0.09139999,0.09183507,0.09179984
2017-11-29 09:52:43,buy,6.33720539,0.09105000,0.09179984,0.09173416
2017-11-29 09:53:14,buy,5.91840525,0.09104999,0.09173416,0.09168243
2017-11-29 09:53:45,buy,5.84120909,0.09099999,0.09168243,0.09163504
2017-11-29 09:54:16,buy,5.53249150,0.09099988,0.09163504,0.09159584
2017-11-29 09:54:47,buy,5.02083640,0.09104999,0.09159584,0.09156689
2017-11-29 10:04:42,buy,7.79019134,0.09045750,0.09156689,0.09148254
2017-11-29 10:05:14,buy,7.25164958,0.09045744,0.09148254,0.09141478
2017-11-29 10:05:44,buy,9.05344171,0.09000000,0.09141478,0.09130693
2017-11-29 10:06:15,buy,8.36674689,0.09000000,0.09130693,0.09122091
2017-11-29 10:06:45,buy,5.41032384,0.09089961,0.09122091,0.09120780
2017-11-29 10:07:17,buy,5.41032384,0.09089943,0.09120780,0.09119570
2017-11-29 10:07:47,buy,5.41032384,0.09089924,0.09119570,0.09118452
2017-11-29 10:08:17,buy,5.41032384,0.09080000,0.09118452,0.09117053
2017-11-29 10:08:49,buy,5.41032384,0.09089884,0.09117053,0.09116100
2017-11-29 10:09:19,buy,5.41032384,0.09080000,0.09116100,0.09114876
2017-11-29 10:09:49,buy,5.41032384,0.09089854,0.09114876,0.09114055
2017-11-29 10:10:20,buy,5.41032384,0.09089799,0.09114055,0.09113285
2017-11-29 10:10:50,buy,5.41032384,0.09089795,0.09113285,0.09112563
2017-11-29 10:11:21,buy,5.41032384,0.09080000,0.09112563,0.09111590
2017-11-29 10:11:52,buy,6.35101573,0.09001000,0.09111590,0.09107846
2017-11-29 10:12:22,buy,5.41032384,0.09079994,0.09107846,0.09107065
2017-11-29 10:23:35,buy,5.21692854,0.09020003,0.09107065,0.09104774
2017-11-29 10:24:06,buy,5.05369184,0.09020000,0.09104774,0.09102666
2017-11-29 10:24:37,buy,5.66718958,0.09000231,0.09102666,0.09099888
2017-11-29 10:25:09,buy,5.48118552,0.08999999,0.09099888,0.09097334
2017-11-29 10:25:41,buy,7.18856619,0.08950001,0.09097334,0.09092555
